Time_stamp,User_id,Id_wisata,Rating,Nama_wisata,Genre,Rating_total
1/5/2022 21:00,Manda,9,3,masjid 99 kubah,religi,76.2
1/5/2022 21:00,Manda,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:03,Darma Ningsih ,1,3,pantai losari,alam,72
1/5/2022 21:03,Darma Ningsih ,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:03,Darma Ningsih ,3,3,malino,alam,70.8
1/5/2022 21:03,Darma Ningsih ,4,3,taman nasional bantimurung,alam,73.4
1/5/2022 21:03,Darma Ningsih ,5,3,pantai galesong,alam,69
1/5/2022 21:03,Darma Ningsih ,6,3,wisata londa,budaya,71
1/5/2022 21:03,Darma Ningsih ,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:03,Darma Ningsih ,8,4,tanjung bira,alam,77.4
1/5/2022 21:03,Darma Ningsih ,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:03,Darma Ningsih ,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:10,Vita Sangaaria,1,3,pantai losari,alam,72
1/5/2022 21:10,Vita Sangaaria,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:10,Vita Sangaaria,3,3,malino,alam,70.8
1/5/2022 21:10,Vita Sangaaria,4,3,taman nasional bantimurung,alam,73.4
1/5/2022 21:10,Vita Sangaaria,5,3,pantai galesong,alam,69
1/5/2022 21:10,Vita Sangaaria,6,3,wisata londa,budaya,71
1/5/2022 21:10,Vita Sangaaria,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:10,Vita Sangaaria,8,4,tanjung bira,alam,77.4
1/5/2022 21:10,Vita Sangaaria,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:10,Vita Sangaaria,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:10,Irmayanti,1,3,pantai losari,alam,72
1/5/2022 21:10,Irmayanti,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:10,Irmayanti,3,3,malino,alam,70.8
1/5/2022 21:10,Irmayanti,4,3,taman nasional bantimurung,alam,73.4
1/5/2022 21:10,Irmayanti,5,3,pantai galesong,alam,69
1/5/2022 21:10,Irmayanti,6,3,wisata londa,budaya,71
1/5/2022 21:10,Irmayanti,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:10,Irmayanti,8,4,tanjung bira,alam,77.4
1/5/2022 21:10,Irmayanti,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:10,Irmayanti,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:10,Z,1,3,pantai losari,alam,72
1/5/2022 21:10,Z,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:10,Z,3,3,malino,alam,70.8
1/5/2022 21:10,Z,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:10,Z,5,3,pantai galesong,alam,69
1/5/2022 21:10,Z,6,3,wisata londa,budaya,71
1/5/2022 21:10,Z,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:10,Z,8,4,tanjung bira,alam,77.4
1/5/2022 21:10,Z,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:10,Z,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:10,Zul,1,3,pantai losari,alam,72
1/5/2022 21:10,Zul,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:10,Zul,3,3,malino,alam,70.8
1/5/2022 21:10,Zul,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:10,Zul,5,3,pantai galesong,alam,69
1/5/2022 21:10,Zul,6,3,wisata londa,budaya,71
1/5/2022 21:10,Zul,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:10,Zul,8,4,tanjung bira,alam,77.4
1/5/2022 21:10,Zul,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:10,Zul,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:11,WA ODE HUSMAYANI,1,3,pantai losari,alam,72
1/5/2022 21:11,WA ODE HUSMAYANI,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:11,WA ODE HUSMAYANI,3,3,malino,alam,70.8
1/5/2022 21:11,WA ODE HUSMAYANI,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:11,WA ODE HUSMAYANI,5,3,pantai galesong,alam,69
1/5/2022 21:11,WA ODE HUSMAYANI,6,3,wisata londa,budaya,71
1/5/2022 21:11,WA ODE HUSMAYANI,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:11,WA ODE HUSMAYANI,8,4,tanjung bira,alam,77.4
1/5/2022 21:11,WA ODE HUSMAYANI,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:11,WA ODE HUSMAYANI,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:12,Esy,1,4,pantai losari,alam,72
1/5/2022 21:12,Esy,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:12,Esy,3,3,malino,alam,70.8
1/5/2022 21:12,Esy,4,4,taman nasional bantimurung,alam,73.4
1/5/2022 21:12,Esy,5,3,pantai galesong,alam,69
1/5/2022 21:12,Esy,6,3,wisata londa,budaya,71
1/5/2022 21:12,Esy,7,4,museum ne'gandeng,budaya,75
1/5/2022 21:12,Esy,8,4,tanjung bira,alam,77.4
1/5/2022 21:12,Esy,9,4,masjid 99 kubah,religi,76.2
1/5/2022 21:12,Esy,10,3,benteng somba opu,prasejarah,68.6
1/5/2022 21:12,Iksal,1,4,pantai losari,alam,72
1/5/2022 21:12,Iksal,2,3,benteng rotterdam,prasejarah,68.2
1/5/2022 21:12,Iksal,3,3,malino,alam,70.8
